Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn)
Oslo - Blindern;SN18700;01.01.1957;1019,6;-;1
Oslo - Blindern;SN18700;02.01.1957;1017,5;-;2,6
Oslo - Blindern;SN18700;03.01.1957;1016,7;-;2,6
Oslo - Blindern;SN18700;04.01.1957;1013,2;-;1,7
Oslo - Blindern;SN18700;05.01.1957;995;-;1
Oslo - Blindern;SN18700;06.01.1957;990;-;3,9
Oslo - Blindern;SN18700;07.01.1957;1014,2;-;0,9
Oslo - Blindern;SN18700;08.01.1957;1003,4;-;1,7
Oslo - Blindern;SN18700;09.01.1957;993,2;-;5,3
Oslo - Blindern;SN18700;10.01.1957;1001,6;-;2,4
Oslo - Blindern;SN18700;11.01.1957;1018,4;-;1
Oslo - Blindern;SN18700;12.01.1957;1000,3;-;2,7
Oslo - Blindern;SN18700;13.01.1957;1025,8;-;4
Oslo - Blindern;SN18700;14.01.1957;1039,2;-;0,3
Oslo - Blindern;SN18700;15.01.1957;1031,5;-;0,9
Oslo - Blindern;SN18700;16.01.1957;1034,3;-;0
Oslo - Blindern;SN18700;17.01.1957;1031,9;-;0,3
Oslo - Blindern;SN18700;18.01.1957;1024,8;-;0,3
Oslo - Blindern;SN18700;19.01.1957;1023;-;0
Oslo - Blindern;SN18700;20.01.1957;998;-;7,7
Oslo - Blindern;SN18700;21.01.1957;997,9;-;2,8
Oslo - Blindern;SN18700;22.01.1957;1000,1;-;1,4
Oslo - Blindern;SN18700;23.01.1957;1009,2;-;0,3
Oslo - Blindern;SN18700;24.01.1957;1011,6;-;1,4
Oslo - Blindern;SN18700;25.01.1957;1008;-;1,2
Oslo - Blindern;SN18700;26.01.1957;1001,1;-;3,3
Oslo - Blindern;SN18700;27.01.1957;997,4;-;0,3
Oslo - Blindern;SN18700;28.01.1957;1014,9;-;0
Oslo - Blindern;SN18700;29.01.1957;1010,1;-;2,2
Oslo - Blindern;SN18700;30.01.1957;1025,4;-;1
Oslo - Blindern;SN18700;31.01.1957;1022,1;-;0,9
Oslo - Blindern;SN18700;01.02.1957;998,5;-;0,7
Oslo - Blindern;SN18700;02.02.1957;1004,6;-;0,7
Oslo - Blindern;SN18700;03.02.1957;1019,3;-;0,7
Oslo - Blindern;SN18700;04.02.1957;1009,8;-;1,4
Oslo - Blindern;SN18700;05.02.1957;998,3;-;4,1
Oslo - Blindern;SN18700;06.02.1957;1000;-;0,3
Oslo - Blindern;SN18700;07.02.1957;1001;-;0,3
Oslo - Blindern;SN18700;08.02.1957;999,5;-;2,6
Oslo - Blindern;SN18700;09.02.1957;992,9;-;2,4
Oslo - Blindern;SN18700;10.02.1957;998,3;-;1
Oslo - Blindern;SN18700;11.02.1957;1010,4;-;1
Oslo - Blindern;SN18700;12.02.1957;1006,9;-;3,8
Oslo - Blindern;SN18700;13.02.1957;995,5;-;9,3
Oslo - Blindern;SN18700;14.02.1957;988,7;-;10,3
Oslo - Blindern;SN18700;15.02.1957;988,5;-;7,6
Oslo - Blindern;SN18700;16.02.1957;990,8;-;5,6
Oslo - Blindern;SN18700;17.02.1957;996,9;-;1
Oslo - Blindern;SN18700;18.02.1957;1001;-;0,3
Oslo - Blindern;SN18700;19.02.1957;1004,5;-;0,3
Oslo - Blindern;SN18700;20.02.1957;1006,4;-;0,3
Oslo - Blindern;SN18700;21.02.1957;1010,7;-;0
Oslo - Blindern;SN18700;22.02.1957;1015,5;-;1
Oslo - Blindern;SN18700;23.02.1957;1016,5;-;0,9
Oslo - Blindern;SN18700;24.02.1957;1008,6;-;1
Oslo - Blindern;SN18700;25.02.1957;1011,8;-;0,3
Oslo - Blindern;SN18700;26.02.1957;1016,5;-;1
Oslo - Blindern;SN18700;27.02.1957;1026,3;-;0,9
Oslo - Blindern;SN18700;28.02.1957;1037;-;0,7
Oslo - Blindern;SN18700;01.03.1957;1031;-;2,2
Oslo - Blindern;SN18700;02.03.1957;1026,4;-;1
Oslo - Blindern;SN18700;03.03.1957;1012,7;-;1
Oslo - Blindern;SN18700;04.03.1957;1009,7;-;1,5
Oslo - Blindern;SN18700;05.03.1957;1013,4;-;0,3
Oslo - Blindern;SN18700;06.03.1957;1013,2;-;0,7
Oslo - Blindern;SN18700;07.03.1957;1014;-;1,4
Oslo - Blindern;SN18700;08.03.1957;1020,9;-;1,5
Oslo - Blindern;SN18700;09.03.1957;1027,9;-;1,5
Oslo - Blindern;SN18700;10.03.1957;1030;-;1,7
Oslo - Blindern;SN18700;11.03.1957;1025,3;-;1,5
Oslo - Blindern;SN18700;12.03.1957;1019,4;-;0
Oslo - Blindern;SN18700;13.03.1957;1008,4;-;0
Oslo - Blindern;SN18700;14.03.1957;992,9;-;3,8
Oslo - Blindern;SN18700;15.03.1957;1003;-;3,1
Oslo - Blindern;SN18700;16.03.1957;1017,9;-;1,7
Oslo - Blindern;SN18700;17.03.1957;1006,6;-;2,6
Oslo - Blindern;SN18700;18.03.1957;995,5;-;1,9
Oslo - Blindern;SN18700;19.03.1957;1010,1;-;2,9
Oslo - Blindern;SN18700;20.03.1957;1004,1;-;5,8
Oslo - Blindern;SN18700;21.03.1957;994,8;-;1
Oslo - Blindern;SN18700;22.03.1957;1006,9;-;1,4
Oslo - Blindern;SN18700;23.03.1957;1031,1;-;4
Oslo - Blindern;SN18700;24.03.1957;1032,7;-;2,1
Oslo - Blindern;SN18700;25.03.1957;1024,5;-;2,7
Oslo - Blindern;SN18700;26.03.1957;1017,1;-;0,7
Oslo - Blindern;SN18700;27.03.1957;1015,9;-;3,3
Oslo - Blindern;SN18700;28.03.1957;1014,6;-;7,6
Oslo - Blindern;SN18700;29.03.1957;1027,5;-;2,7
Oslo - Blindern;SN18700;30.03.1957;1028,9;-;0,3
Oslo - Blindern;SN18700;31.03.1957;1026,9;-;0
Oslo - Blindern;SN18700;01.04.1957;1026,9;-;0,3
Oslo - Blindern;SN18700;02.04.1957;1025,5;-;0,3
Oslo - Blindern;SN18700;03.04.1957;1026,2;-;0,3
Oslo - Blindern;SN18700;04.04.1957;1024,6;-;0,7
Oslo - Blindern;SN18700;05.04.1957;1015,4;-;0,7
Oslo - Blindern;SN18700;06.04.1957;1015;-;6
Oslo - Blindern;SN18700;07.04.1957;1026;-;5,3
Oslo - Blindern;SN18700;08.04.1957;1018,9;-;4,8
Oslo - Blindern;SN18700;09.04.1957;1015,2;-;1,7
Oslo - Blindern;SN18700;10.04.1957;996,5;-;5,7
Oslo - Blindern;SN18700;11.04.1957;1006,2;-;6,9
Oslo - Blindern;SN18700;12.04.1957;1012,3;-;3,9
Oslo - Blindern;SN18700;13.04.1957;1016,3;-;4,6
Oslo - Blindern;SN18700;14.04.1957;1018,6;-;2,6
Oslo - Blindern;SN18700;15.04.1957;1018,2;-;2,7
Oslo - Blindern;SN18700;16.04.1957;1013,5;-;1
Oslo - Blindern;SN18700;17.04.1957;1020,6;-;3,3
Oslo - Blindern;SN18700;18.04.1957;1018,8;-;2,2
Oslo - Blindern;SN18700;19.04.1957;1011,9;-;1
Oslo - Blindern;SN18700;20.04.1957;1021,6;-;1,2
Oslo - Blindern;SN18700;21.04.1957;1031,2;-;1,5
Oslo - Blindern;SN18700;22.04.1957;1035;-;1,2
Oslo - Blindern;SN18700;23.04.1957;1036,7;-;2,6
Oslo - Blindern;SN18700;24.04.1957;1034,7;-;1,2
Oslo - Blindern;SN18700;25.04.1957;1036,2;-;6
Oslo - Blindern;SN18700;26.04.1957;1033,4;-;2,1
Oslo - Blindern;SN18700;27.04.1957;1023,4;-;1,4
Oslo - Blindern;SN18700;28.04.1957;1013,1;-;1
Oslo - Blindern;SN18700;29.04.1957;1007;-;2,2
Oslo - Blindern;SN18700;30.04.1957;1009,2;-;7,9
Oslo - Blindern;SN18700;01.05.1957;1017,5;-;2,6
Oslo - Blindern;SN18700;02.05.1957;1011,2;-;1,4
Oslo - Blindern;SN18700;03.05.1957;997,5;-;6,7
Oslo - Blindern;SN18700;04.05.1957;1001,2;-;8,4
Oslo - Blindern;SN18700;05.05.1957;1005,4;-;8,4
Oslo - Blindern;SN18700;06.05.1957;1012,3;-;5,3
Oslo - Blindern;SN18700;07.05.1957;1015,5;-;5,3
Oslo - Blindern;SN18700;08.05.1957;1014,4;-;2,7
Oslo - Blindern;SN18700;09.05.1957;1010,1;-;2,7
Oslo - Blindern;SN18700;10.05.1957;1021,4;-;4
Oslo - Blindern;SN18700;11.05.1957;1013,3;-;1,7
Oslo - Blindern;SN18700;12.05.1957;1013,4;-;0,7
Oslo - Blindern;SN18700;13.05.1957;1013,8;-;0,7
Oslo - Blindern;SN18700;14.05.1957;1012,2;-;1,7
Oslo - Blindern;SN18700;15.05.1957;1017,2;-;0,5
Oslo - Blindern;SN18700;16.05.1957;1011,5;-;1,4
Oslo - Blindern;SN18700;17.05.1957;1011;-;3,8
Oslo - Blindern;SN18700;18.05.1957;1011,8;-;3,3
Oslo - Blindern;SN18700;19.05.1957;1010,1;-;2,4
Oslo - Blindern;SN18700;20.05.1957;1009,3;-;3,9
Oslo - Blindern;SN18700;21.05.1957;1016,7;-;5,3
Oslo - Blindern;SN18700;22.05.1957;1026,4;-;5,5
Oslo - Blindern;SN18700;23.05.1957;1026,7;-;3,9
Oslo - Blindern;SN18700;24.05.1957;1033,4;-;2,1
Oslo - Blindern;SN18700;25.05.1957;1032,6;-;1,4
Oslo - Blindern;SN18700;26.05.1957;1030,5;-;3,1
Oslo - Blindern;SN18700;27.05.1957;1029,5;-;3,4
Oslo - Blindern;SN18700;28.05.1957;1021,7;-;1,7
Oslo - Blindern;SN18700;29.05.1957;1019,7;-;2,1
Oslo - Blindern;SN18700;30.05.1957;1015,6;-;3,4
Oslo - Blindern;SN18700;31.05.1957;1007,6;-;2,9
Oslo - Blindern;SN18700;01.06.1957;1004,7;-;4,6
Oslo - Blindern;SN18700;02.06.1957;1011,9;-;2,7
Oslo - Blindern;SN18700;03.06.1957;1009,8;-;2,1
Oslo - Blindern;SN18700;04.06.1957;1007,4;-;2,6
Oslo - Blindern;SN18700;05.06.1957;999;-;3,3
Oslo - Blindern;SN18700;06.06.1957;993;-;2,1
Oslo - Blindern;SN18700;07.06.1957;995;-;2,1
Oslo - Blindern;SN18700;08.06.1957;1003,2;-;3,1
Oslo - Blindern;SN18700;09.06.1957;1008;-;3,2
Oslo - Blindern;SN18700;10.06.1957;1012,2;-;0,7
Oslo - Blindern;SN18700;11.06.1957;1010,9;-;1,4
Oslo - Blindern;SN18700;12.06.1957;1013,9;-;0,7
Oslo - Blindern;SN18700;13.06.1957;1028,8;-;1,4
Oslo - Blindern;SN18700;14.06.1957;1032,2;-;2,1
Oslo - Blindern;SN18700;15.06.1957;1026,4;-;3,8
Oslo - Blindern;SN18700;16.06.1957;1023,6;-;1,5
Oslo - Blindern;SN18700;17.06.1957;1017,3;-;2,4
Oslo - Blindern;SN18700;18.06.1957;1016,2;-;5,3
Oslo - Blindern;SN18700;19.06.1957;1018;-;3,9
Oslo - Blindern;SN18700;20.06.1957;1020,3;-;2,1
Oslo - Blindern;SN18700;21.06.1957;1012,5;-;3,3
Oslo - Blindern;SN18700;22.06.1957;1008,4;-;4,6
Oslo - Blindern;SN18700;23.06.1957;1003,7;-;3,1
Oslo - Blindern;SN18700;24.06.1957;1004,1;-;2,6
Oslo - Blindern;SN18700;25.06.1957;1006,7;-;1,4
Oslo - Blindern;SN18700;26.06.1957;1009,4;-;1,4
Oslo - Blindern;SN18700;27.06.1957;1011,7;-;2,8
Oslo - Blindern;SN18700;28.06.1957;1011;-;1,4
Oslo - Blindern;SN18700;29.06.1957;1016,6;-;2,6
Oslo - Blindern;SN18700;30.06.1957;1018,9;-;1,4
Oslo - Blindern;SN18700;01.07.1957;1015;-;2,8
Oslo - Blindern;SN18700;02.07.1957;1010,4;-;3,4
Oslo - Blindern;SN18700;03.07.1957;1015,8;-;1,7
Oslo - Blindern;SN18700;04.07.1957;1012,1;-;1
Oslo - Blindern;SN18700;05.07.1957;1012,3;-;4,3
Oslo - Blindern;SN18700;06.07.1957;1017,4;-;2,2
Oslo - Blindern;SN18700;07.07.1957;1019,2;-;2,7
Oslo - Blindern;SN18700;08.07.1957;1009,1;-;1,4
Oslo - Blindern;SN18700;09.07.1957;1006,5;-;4,6
Oslo - Blindern;SN18700;10.07.1957;1005,1;-;1,4
Oslo - Blindern;SN18700;11.07.1957;1010,2;-;2,9
Oslo - Blindern;SN18700;12.07.1957;1015,6;-;1,4
Oslo - Blindern;SN18700;13.07.1957;1014,4;-;2,2
Oslo - Blindern;SN18700;14.07.1957;1016,5;-;1
Oslo - Blindern;SN18700;15.07.1957;1013;-;1
Oslo - Blindern;SN18700;16.07.1957;1009,8;-;3,1
Oslo - Blindern;SN18700;17.07.1957;1010,5;-;1,4
Oslo - Blindern;SN18700;18.07.1957;1007,5;-;0,3
Oslo - Blindern;SN18700;19.07.1957;1006,2;-;0
Oslo - Blindern;SN18700;20.07.1957;1005,2;-;1,5
Oslo - Blindern;SN18700;21.07.1957;1007;-;2,1
Oslo - Blindern;SN18700;22.07.1957;1008,9;-;0,9
Oslo - Blindern;SN18700;23.07.1957;1004,4;-;2,4
Oslo - Blindern;SN18700;24.07.1957;1000,9;-;3,4
Oslo - Blindern;SN18700;25.07.1957;1000,9;-;2,1
Oslo - Blindern;SN18700;26.07.1957;998,3;-;1,7
Oslo - Blindern;SN18700;27.07.1957;998,9;-;2,7
Oslo - Blindern;SN18700;28.07.1957;999,7;-;0,9
Oslo - Blindern;SN18700;29.07.1957;1002,2;-;2,2
Oslo - Blindern;SN18700;30.07.1957;1011,4;-;2,1
Oslo - Blindern;SN18700;31.07.1957;1017,4;-;1,5
Oslo - Blindern;SN18700;01.08.1957;1015,8;-;2,7
Oslo - Blindern;SN18700;02.08.1957;1019,9;-;2,7
Oslo - Blindern;SN18700;03.08.1957;1019,4;-;2,7
Oslo - Blindern;SN18700;04.08.1957;1023,1;-;1
Oslo - Blindern;SN18700;05.08.1957;1023,1;-;1,2
Oslo - Blindern;SN18700;06.08.1957;1018,4;-;3,1
Oslo - Blindern;SN18700;07.08.1957;1013,8;-;3,9
Oslo - Blindern;SN18700;08.08.1957;1014,7;-;2,1
Oslo - Blindern;SN18700;09.08.1957;1007;-;1,2
Oslo - Blindern;SN18700;10.08.1957;996,4;-;3,9
Oslo - Blindern;SN18700;11.08.1957;995,5;-;3,4
Oslo - Blindern;SN18700;12.08.1957;997,6;-;3,3
Oslo - Blindern;SN18700;13.08.1957;1005,1;-;2,7
Oslo - Blindern;SN18700;14.08.1957;1007,9;-;2,1
Oslo - Blindern;SN18700;15.08.1957;1010;-;2,1
Oslo - Blindern;SN18700;16.08.1957;1011,9;-;1,5
Oslo - Blindern;SN18700;17.08.1957;1009,7;-;2,9
Oslo - Blindern;SN18700;18.08.1957;1007,5;-;1
Oslo - Blindern;SN18700;19.08.1957;1004,9;-;1
Oslo - Blindern;SN18700;20.08.1957;1000,2;-;2,6
Oslo - Blindern;SN18700;21.08.1957;1002,6;-;1,7
Oslo - Blindern;SN18700;22.08.1957;1006,8;-;1,4
Oslo - Blindern;SN18700;23.08.1957;1005,2;-;2,2
Oslo - Blindern;SN18700;24.08.1957;994,6;-;5,5
Oslo - Blindern;SN18700;25.08.1957;991,8;-;2,1
Oslo - Blindern;SN18700;26.08.1957;997,9;-;2,6
Oslo - Blindern;SN18700;27.08.1957;999,4;-;1,2
Oslo - Blindern;SN18700;28.08.1957;1004,9;-;2,6
Oslo - Blindern;SN18700;29.08.1957;1013,3;-;2,1
Oslo - Blindern;SN18700;30.08.1957;1012,1;-;1,2
Oslo - Blindern;SN18700;31.08.1957;1012,6;-;2,6
Oslo - Blindern;SN18700;01.09.1957;1005,4;-;1,7
Oslo - Blindern;SN18700;02.09.1957;1007,5;-;2,6
Oslo - Blindern;SN18700;03.09.1957;1010,7;-;0,7
Oslo - Blindern;SN18700;04.09.1957;1014,8;-;1
Oslo - Blindern;SN18700;05.09.1957;1007,4;-;2,9
Oslo - Blindern;SN18700;06.09.1957;1004,6;-;0,7
Oslo - Blindern;SN18700;07.09.1957;1006,5;-;4,3
Oslo - Blindern;SN18700;08.09.1957;1004,9;-;8,4
Oslo - Blindern;SN18700;09.09.1957;1013,7;-;3,1
Oslo - Blindern;SN18700;10.09.1957;1007;-;5,3
Oslo - Blindern;SN18700;11.09.1957;995,9;-;2,1
Oslo - Blindern;SN18700;12.09.1957;977,7;-;4,6
Oslo - Blindern;SN18700;13.09.1957;975,6;-;3,8
Oslo - Blindern;SN18700;14.09.1957;982,4;-;1,7
Oslo - Blindern;SN18700;15.09.1957;991,9;-;1,7
Oslo - Blindern;SN18700;16.09.1957;1003,1;-;4,6
Oslo - Blindern;SN18700;17.09.1957;1017,6;-;1
Oslo - Blindern;SN18700;18.09.1957;1018,2;-;1,4
Oslo - Blindern;SN18700;19.09.1957;1013,2;-;2,1
Oslo - Blindern;SN18700;20.09.1957;1016,7;-;2,9
Oslo - Blindern;SN18700;21.09.1957;1014,6;-;1
Oslo - Blindern;SN18700;22.09.1957;1006,6;-;0,7
Oslo - Blindern;SN18700;23.09.1957;1002,4;-;6
Oslo - Blindern;SN18700;24.09.1957;1008,9;-;5
Oslo - Blindern;SN18700;25.09.1957;1017,4;-;2
Oslo - Blindern;SN18700;26.09.1957;1016,3;-;0,7
Oslo - Blindern;SN18700;27.09.1957;994,2;-;3,3
Oslo - Blindern;SN18700;28.09.1957;999,9;-;1
Oslo - Blindern;SN18700;29.09.1957;1001,7;-;3,8
Oslo - Blindern;SN18700;30.09.1957;1012,8;-;3,1
Oslo - Blindern;SN18700;01.10.1957;1019;-;1
Oslo - Blindern;SN18700;02.10.1957;1009,4;-;0
Oslo - Blindern;SN18700;03.10.1957;994,4;-;4,1
Oslo - Blindern;SN18700;04.10.1957;1009,1;-;2,9
Oslo - Blindern;SN18700;05.10.1957;1003,3;-;0,7
Oslo - Blindern;SN18700;06.10.1957;1010,2;-;0,7
Oslo - Blindern;SN18700;07.10.1957;1016,9;-;1
Oslo - Blindern;SN18700;08.10.1957;1022,1;-;1
Oslo - Blindern;SN18700;09.10.1957;1020,7;-;1
Oslo - Blindern;SN18700;10.10.1957;1016,4;-;1,2
Oslo - Blindern;SN18700;11.10.1957;1010,5;-;0,3
Oslo - Blindern;SN18700;12.10.1957;1014,9;-;1
Oslo - Blindern;SN18700;13.10.1957;1008,4;-;5,7
Oslo - Blindern;SN18700;14.10.1957;1019,9;-;1
Oslo - Blindern;SN18700;15.10.1957;1023,1;-;0
Oslo - Blindern;SN18700;16.10.1957;1013,7;-;3,9
Oslo - Blindern;SN18700;17.10.1957;1004,8;-;1
Oslo - Blindern;SN18700;18.10.1957;996,9;-;1
Oslo - Blindern;SN18700;19.10.1957;987,8;-;2,7
Oslo - Blindern;SN18700;20.10.1957;1002,2;-;0,7
Oslo - Blindern;SN18700;21.10.1957;993,4;-;2,6
Oslo - Blindern;SN18700;22.10.1957;997,3;-;0,3
Oslo - Blindern;SN18700;23.10.1957;992,3;-;0,7
Oslo - Blindern;SN18700;24.10.1957;999,8;-;4,1
Oslo - Blindern;SN18700;25.10.1957;1016,9;-;0,3
Oslo - Blindern;SN18700;26.10.1957;1003,2;-;1
Oslo - Blindern;SN18700;27.10.1957;1000,5;-;4,5
Oslo - Blindern;SN18700;28.10.1957;998,3;-;1,5
Oslo - Blindern;SN18700;29.10.1957;998;-;2,8
Oslo - Blindern;SN18700;30.10.1957;1004,2;-;1,7
Oslo - Blindern;SN18700;31.10.1957;997,3;-;0,3
Oslo - Blindern;SN18700;01.11.1957;981,1;-;4,3
Oslo - Blindern;SN18700;02.11.1957;992,1;-;4,1
Oslo - Blindern;SN18700;03.11.1957;1004,9;-;2,6
Oslo - Blindern;SN18700;04.11.1957;992,3;-;8,2
Oslo - Blindern;SN18700;05.11.1957;997,6;-;1,7
Oslo - Blindern;SN18700;06.11.1957;997,7;-;5,5
Oslo - Blindern;SN18700;07.11.1957;1009,7;-;1,4
Oslo - Blindern;SN18700;08.11.1957;1014,4;-;2,7
Oslo - Blindern;SN18700;09.11.1957;1023,6;-;0
Oslo - Blindern;SN18700;10.11.1957;1028,3;-;4,8
Oslo - Blindern;SN18700;11.11.1957;1035,9;-;2,4
Oslo - Blindern;SN18700;12.11.1957;1035,8;-;1
Oslo - Blindern;SN18700;13.11.1957;1034,3;-;0
Oslo - Blindern;SN18700;14.11.1957;1033;-;0
Oslo - Blindern;SN18700;15.11.1957;1031;-;0
Oslo - Blindern;SN18700;16.11.1957;1033,4;-;0
Oslo - Blindern;SN18700;17.11.1957;1034,4;-;0,7
Oslo - Blindern;SN18700;18.11.1957;1032,5;-;0
Oslo - Blindern;SN18700;19.11.1957;1033,1;-;1,7
Oslo - Blindern;SN18700;20.11.1957;1034,2;-;0,7
Oslo - Blindern;SN18700;21.11.1957;1027,1;-;2,6
Oslo - Blindern;SN18700;22.11.1957;1006,2;-;2,9
Oslo - Blindern;SN18700;23.11.1957;1016,1;-;0
Oslo - Blindern;SN18700;24.11.1957;1008,7;-;0,7
Oslo - Blindern;SN18700;25.11.1957;1012,1;-;1,4
Oslo - Blindern;SN18700;26.11.1957;1007,2;-;0
Oslo - Blindern;SN18700;27.11.1957;1009,4;-;0,3
Oslo - Blindern;SN18700;28.11.1957;1007,1;-;3,8
Oslo - Blindern;SN18700;29.11.1957;1036,9;-;3,9
Oslo - Blindern;SN18700;30.11.1957;1033,1;-;1,9
Oslo - Blindern;SN18700;01.12.1957;1028,7;-;0
Oslo - Blindern;SN18700;02.12.1957;1027,2;-;0
Oslo - Blindern;SN18700;03.12.1957;1022,9;-;0,3
Oslo - Blindern;SN18700;04.12.1957;1011,9;-;0
Oslo - Blindern;SN18700;05.12.1957;1021,1;-;1
Oslo - Blindern;SN18700;06.12.1957;1009,2;-;2,2
Oslo - Blindern;SN18700;07.12.1957;994,7;-;0,7
Oslo - Blindern;SN18700;08.12.1957;979,1;-;8,7
Oslo - Blindern;SN18700;09.12.1957;988,7;-;4,1
Oslo - Blindern;SN18700;10.12.1957;994,2;-;0,7
Oslo - Blindern;SN18700;11.12.1957;1008,4;-;2,2
Oslo - Blindern;SN18700;12.12.1957;1012,2;-;4,1
Oslo - Blindern;SN18700;13.12.1957;1010,8;-;0,3
Oslo - Blindern;SN18700;14.12.1957;1015,6;-;1,9
Oslo - Blindern;SN18700;15.12.1957;1021,1;-;0,5
Oslo - Blindern;SN18700;16.12.1957;1013,8;-;2,7
Oslo - Blindern;SN18700;17.12.1957;1014,6;-;0,3
Oslo - Blindern;SN18700;18.12.1957;1017,2;-;0,7
Oslo - Blindern;SN18700;19.12.1957;1016,6;-;2
Oslo - Blindern;SN18700;20.12.1957;1000,7;-;7,7
Oslo - Blindern;SN18700;21.12.1957;999,7;-;4,1
Oslo - Blindern;SN18700;22.12.1957;1006,2;-;1,7
Oslo - Blindern;SN18700;23.12.1957;1007,2;-;4,3
Oslo - Blindern;SN18700;24.12.1957;1006;-;0,3
Oslo - Blindern;SN18700;25.12.1957;1003,6;-;0,8
Oslo - Blindern;SN18700;26.12.1957;1006,4;-;0,7
Oslo - Blindern;SN18700;27.12.1957;1000,3;-;2,4
Oslo - Blindern;SN18700;28.12.1957;993,3;-;2
Oslo - Blindern;SN18700;29.12.1957;986,4;-;2
Oslo - Blindern;SN18700;30.12.1957;985,9;-;0,3
Oslo - Blindern;SN18700;31.12.1957;990,2;-;1
Oslo - Blindern;SN18700;01.01.1958;1002,6;-;1,7
Oslo - Blindern;SN18700;02.01.1958;1015,2;-;0
Oslo - Blindern;SN18700;03.01.1958;1029,5;-;0,3
Oslo - Blindern;SN18700;04.01.1958;1021,9;-;2,8
Oslo - Blindern;SN18700;05.01.1958;1007,5;-;4,3
Oslo - Blindern;SN18700;06.01.1958;998,6;-;6,3
Oslo - Blindern;SN18700;07.01.1958;1003,2;-;6,3
Oslo - Blindern;SN18700;08.01.1958;1009,1;-;0,7
Oslo - Blindern;SN18700;09.01.1958;993,5;-;7,2
Oslo - Blindern;SN18700;10.01.1958;995;-;1
Oslo - Blindern;SN18700;11.01.1958;991,9;-;2,1
Oslo - Blindern;SN18700;12.01.1958;1000,1;-;4,8
Oslo - Blindern;SN18700;13.01.1958;1024;-;1,7
Oslo - Blindern;SN18700;14.01.1958;1026,7;-;1
Oslo - Blindern;SN18700;15.01.1958;1026,2;-;0,3
Oslo - Blindern;SN18700;16.01.1958;1014,1;-;0
Oslo - Blindern;SN18700;17.01.1958;997,9;-;4,1
Oslo - Blindern;SN18700;18.01.1958;988,2;-;3,1
Oslo - Blindern;SN18700;19.01.1958;972,2;-;3,8
Oslo - Blindern;SN18700;20.01.1958;986,1;-;0,3
Oslo - Blindern;SN18700;21.01.1958;999,4;-;0,7
Oslo - Blindern;SN18700;22.01.1958;1004,1;-;4,6
Oslo - Blindern;SN18700;23.01.1958;1003,9;-;2,6
Oslo - Blindern;SN18700;24.01.1958;1011,8;-;2
Oslo - Blindern;SN18700;25.01.1958;1024,9;-;0,7
Oslo - Blindern;SN18700;26.01.1958;1028;-;3,4
Oslo - Blindern;SN18700;27.01.1958;1028;-;1
Oslo - Blindern;SN18700;28.01.1958;1025,5;-;0,7
Oslo - Blindern;SN18700;29.01.1958;1023,3;-;0,7
Oslo - Blindern;SN18700;30.01.1958;1020,4;-;0,3
Oslo - Blindern;SN18700;31.01.1958;1022,1;-;0,7
Oslo - Blindern;SN18700;01.02.1958;1014,5;-;2,4
Oslo - Blindern;SN18700;02.02.1958;1007;-;1,9
Oslo - Blindern;SN18700;03.02.1958;1012;-;8,9
Oslo - Blindern;SN18700;04.02.1958;1006,3;-;1,2
Oslo - Blindern;SN18700;05.02.1958;994,7;-;8,2
Oslo - Blindern;SN18700;06.02.1958;1003;-;7,6
Oslo - Blindern;SN18700;07.02.1958;1007;-;5,3
Oslo - Blindern;SN18700;08.02.1958;1012,3;-;2,9
Oslo - Blindern;SN18700;09.02.1958;1005,6;-;8,1
Oslo - Blindern;SN18700;10.02.1958;1015,5;-;3,9
Oslo - Blindern;SN18700;11.02.1958;1003,1;-;6,2
Oslo - Blindern;SN18700;12.02.1958;991,2;-;2,4
Oslo - Blindern;SN18700;13.02.1958;1005,1;-;0
Oslo - Blindern;SN18700;14.02.1958;1008,7;-;0,3
Oslo - Blindern;SN18700;15.02.1958;1011,2;-;0
Oslo - Blindern;SN18700;16.02.1958;991,6;-;0
Oslo - Blindern;SN18700;17.02.1958;994,9;-;7,1
Oslo - Blindern;SN18700;18.02.1958;1002,2;-;2,2
Oslo - Blindern;SN18700;19.02.1958;1001,3;-;0,3
Oslo - Blindern;SN18700;20.02.1958;998,9;-;0,7
Oslo - Blindern;SN18700;21.02.1958;999;-;1,2
Oslo - Blindern;SN18700;22.02.1958;1004;-;3,4
Oslo - Blindern;SN18700;23.02.1958;1009,4;-;0,7
Oslo - Blindern;SN18700;24.02.1958;1013,2;-;1
Oslo - Blindern;SN18700;25.02.1958;1014,6;-;1
Oslo - Blindern;SN18700;26.02.1958;1014,3;-;2,1
Oslo - Blindern;SN18700;27.02.1958;1019,5;-;1,4
Oslo - Blindern;SN18700;28.02.1958;1014,8;-;0,3
Oslo - Blindern;SN18700;01.03.1958;1008,8;-;0
Oslo - Blindern;SN18700;02.03.1958;1016,5;-;0
Oslo - Blindern;SN18700;03.03.1958;1023,9;-;0,7
Oslo - Blindern;SN18700;04.03.1958;1010,8;-;0,7
Oslo - Blindern;SN18700;05.03.1958;991,7;-;3,3
Oslo - Blindern;SN18700;06.03.1958;988,6;-;8,9
Oslo - Blindern;SN18700;07.03.1958;1012,7;-;6,4
Oslo - Blindern;SN18700;08.03.1958;1015,8;-;3,4
